Width,Pattern,Total Correct Detections,Average
0.7,BWB,0,0
0.7,BWB,0,0
0.7,BWB,0,0
0.7,BWB,0,0
0.7,BWB,0,0
0.7,BWB,0,0
0.7,BWB,0,0
0.7,BWB,0,0
0.7,BWB,0,0
0.7,BWB,0,0
0.7,BWB,0,0
0.7,BWB,0,0
0.7,BWB,0,0
0.7,BWB,0,0
0.7,BWB,0,0
0.7,BWB,0,0
0.7,BWB,0,0
0.7,BWB,0,0
0.7,BWB,0,0
0.7,BWB,0,0
0.7,WBW,0,0
0.7,WBW,0,0
0.7,WBW,1,1
0.7,WBW,0,0
0.7,WBW,1,1
0.7,WBW,0,0
0.7,WBW,1,1
0.7,WBW,0,0
0.7,WBW,1,1
0.7,WBW,1,1
0.7,WBW,0,0
0.7,WBW,1,1
0.7,WBW,0,0
0.7,WBW,0,0
0.7,WBW,0,0
0.7,WBW,1,1
0.7,WBW,0,0
0.7,WBW,0,0
0.7,WBW,0,0
0.7,WBW,1,1
0.7,TOTAL,0,0
0.7,TOTAL,0,0
0.7,TOTAL,1,0.5
0.7,TOTAL,0,0
0.7,TOTAL,1,0.5
0.7,TOTAL,0,0
0.7,TOTAL,1,0.5
0.7,TOTAL,0,0
0.7,TOTAL,1,0.5
0.7,TOTAL,1,0.5
0.7,TOTAL,0,0
0.7,TOTAL,1,0.5
0.7,TOTAL,0,0
0.7,TOTAL,0,0
0.7,TOTAL,0,0
0.7,TOTAL,1,0.5
0.7,TOTAL,0,0
0.7,TOTAL,0,0
0.7,TOTAL,0,0
0.7,TOTAL,1,0.5
0.95,BWB,1,1
0.95,BWB,1,1
0.95,BWB,0,0
0.95,BWB,0,0
0.95,BWB,1,1
0.95,BWB,1,1
0.95,BWB,1,1
0.95,BWB,1,1
0.95,BWB,1,1
0.95,BWB,0,0
0.95,BWB,1,1
0.95,BWB,0,0
0.95,BWB,0,0
0.95,BWB,1,1
0.95,BWB,1,1
0.95,BWB,1,1
0.95,BWB,0,0
0.95,BWB,0,0
0.95,BWB,0,0
0.95,BWB,1,1
0.95,WBW,1,1
0.95,WBW,1,1
0.95,WBW,1,1
0.95,WBW,0,0
0.95,WBW,0,0
0.95,WBW,0,0
0.95,WBW,0,0
0.95,WBW,0,0
0.95,WBW,1,1
0.95,WBW,1,1
0.95,WBW,1,1
0.95,WBW,0,0
0.95,WBW,1,1
0.95,WBW,1,1
0.95,WBW,1,1
0.95,WBW,1,1
0.95,WBW,0,0
0.95,WBW,1,1
0.95,WBW,1,1
0.95,WBW,1,1
0.95,TOTAL,2,1
0.95,TOTAL,2,1
0.95,TOTAL,1,0.5
0.95,TOTAL,0,0
0.95,TOTAL,1,0.5
0.95,TOTAL,1,0.5
0.95,TOTAL,1,0.5
0.95,TOTAL,1,0.5
0.95,TOTAL,2,1
0.95,TOTAL,1,0.5
0.95,TOTAL,2,1
0.95,TOTAL,0,0
0.95,TOTAL,1,0.5
0.95,TOTAL,2,1
0.95,TOTAL,2,1
0.95,TOTAL,2,1
0.95,TOTAL,0,0
0.95,TOTAL,1,0.5
0.95,TOTAL,1,0.5
0.95,TOTAL,2,1
1.2,BWB,0,0
1.2,BWB,0,0
1.2,BWB,1,1
1.2,BWB,1,1
1.2,BWB,0,0
1.2,BWB,1,1
1.2,BWB,1,1
1.2,BWB,1,1
1.2,BWB,0,0
1.2,BWB,1,1
1.2,BWB,1,1
1.2,BWB,1,1
1.2,BWB,0,0
1.2,BWB,0,0
1.2,BWB,1,1
1.2,BWB,1,1
1.2,BWB,1,1
1.2,BWB,1,1
1.2,BWB,1,1
1.2,BWB,1,1
1.2,WBW,0,0
1.2,WBW,0,0
1.2,WBW,1,1
1.2,WBW,0,0
1.2,WBW,1,1
1.2,WBW,1,1
1.2,WBW,1,1
1.2,WBW,0,0
1.2,WBW,1,1
1.2,WBW,1,1
1.2,WBW,0,0
1.2,WBW,0,0
1.2,WBW,1,1
1.2,WBW,1,1
1.2,WBW,1,1
1.2,WBW,1,1
1.2,WBW,1,1
1.2,WBW,0,0
1.2,WBW,0,0
1.2,WBW,1,1
1.2,TOTAL,0,0
1.2,TOTAL,0,0
1.2,TOTAL,2,1
1.2,TOTAL,1,0.5
1.2,TOTAL,1,0.5
1.2,TOTAL,2,1
1.2,TOTAL,2,1
1.2,TOTAL,1,0.5
1.2,TOTAL,1,0.5
1.2,TOTAL,2,1
1.2,TOTAL,1,0.5
1.2,TOTAL,1,0.5
1.2,TOTAL,1,0.5
1.2,TOTAL,1,0.5
1.2,TOTAL,2,1
1.2,TOTAL,2,1
1.2,TOTAL,2,1
1.2,TOTAL,1,0.5
1.2,TOTAL,1,0.5
1.2,TOTAL,2,1
1.45,BWB,1,1
1.45,BWB,0,0
1.45,BWB,1,1
1.45,BWB,0,0
1.45,BWB,1,1
1.45,BWB,0,0
1.45,BWB,1,1
1.45,BWB,0,0
1.45,BWB,1,1
1.45,BWB,0,0
1.45,BWB,1,1
1.45,BWB,1,1
1.45,BWB,1,1
1.45,BWB,0,0
1.45,BWB,0,0
1.45,BWB,1,1
1.45,BWB,1,1
1.45,BWB,0,0
1.45,BWB,0,0
1.45,BWB,0,0
1.45,WBW,1,1
1.45,WBW,1,1
1.45,WBW,0,0
1.45,WBW,0,0
1.45,WBW,0,0
1.45,WBW,0,0
1.45,WBW,0,0
1.45,WBW,1,1
1.45,WBW,1,1
1.45,WBW,1,1
1.45,WBW,1,1
1.45,WBW,1,1
1.45,WBW,1,1
1.45,WBW,1,1
1.45,WBW,1,1
1.45,WBW,1,1
1.45,WBW,1,1
1.45,WBW,1,1
1.45,WBW,1,1
1.45,WBW,1,1
1.45,TOTAL,2,1
1.45,TOTAL,1,0.5
1.45,TOTAL,1,0.5
1.45,TOTAL,0,0
1.45,TOTAL,1,0.5
1.45,TOTAL,0,0
1.45,TOTAL,1,0.5
1.45,TOTAL,1,0.5
1.45,TOTAL,2,1
1.45,TOTAL,1,0.5
1.45,TOTAL,2,1
1.45,TOTAL,2,1
1.45,TOTAL,2,1
1.45,TOTAL,1,0.5
1.45,TOTAL,1,0.5
1.45,TOTAL,2,1
1.45,TOTAL,2,1
1.45,TOTAL,1,0.5
1.45,TOTAL,1,0.5
1.45,TOTAL,1,0.5
1.7,BWB,0,0
1.7,BWB,0,0
1.7,BWB,0,0
1.7,BWB,0,0
1.7,BWB,0,0
1.7,BWB,0,0
1.7,BWB,0,0
1.7,BWB,0,0
1.7,BWB,0,0
1.7,BWB,0,0
1.7,BWB,0,0
1.7,BWB,0,0
1.7,BWB,0,0
1.7,BWB,0,0
1.7,BWB,0,0
1.7,BWB,0,0
1.7,BWB,0,0
1.7,BWB,0,0
1.7,BWB,0,0
1.7,BWB,0,0
1.7,WBW,1,1
1.7,WBW,1,1
1.7,WBW,0,0
