Box Length,Speed Demand,Number of Patterns Detected,Accuracy
0.475,0.4,8,0.5
0.475,0.4,9,0.5625
0.475,0.4,9,0.5625
0.475,0.4,7,0.4375
0.475,0.4,7,0.4375
0.475,0.4,8,0.5
0.475,0.4,4,0.25
0.475,0.4,7,0.4375
0.475,0.4,7,0.4375
0.475,0.4,6,0.375
0.475,0.4,6,0.375
0.475,0.4,10,0.625
0.475,0.4,6,0.375
0.475,0.4,7,0.4375
0.475,0.4,7,0.4375
0.475,0.4,6,0.375
0.475,0.4,7,0.4375
0.475,0.4,6,0.375
0.475,0.4,7,0.4375
0.475,0.4,6,0.375
0.475,0.6,7,0.28
0.475,0.6,5,0.2
0.475,0.6,3,0.12
0.475,0.6,9,0.36
0.475,0.6,6,0.24
0.475,0.6,5,0.2
0.475,0.6,5,0.2
0.475,0.6,6,0.24
0.475,0.6,5,0.2
0.475,0.6,6,0.24
0.475,0.6,6,0.24
0.475,0.6,5,0.2
0.475,0.6,6,0.24
0.475,0.6,6,0.24
0.475,0.6,8,0.32
0.475,0.6,3,0.12
0.475,0.6,7,0.28
0.475,0.6,6,0.24
0.475,0.6,8,0.32
0.475,0.6,7,0.28
0.475,0.8,2,0.08
0.475,0.8,4,0.16
0.475,0.8,4,0.16
0.475,0.8,4,0.16
0.475,0.8,4,0.16
0.475,0.8,5,0.2
0.475,0.8,3,0.12
0.475,0.8,3,0.12
0.475,0.8,4,0.16
0.475,0.8,5,0.2
0.475,0.8,5,0.2
0.475,0.8,4,0.16
0.475,0.8,5,0.2
0.475,0.8,4,0.16
0.475,0.8,4,0.16
0.475,0.8,3,0.12
0.475,0.8,3,0.12
0.475,0.8,5,0.2
0.475,0.8,3,0.12
0.475,0.8,5,0.2
0.475,1,3,0.073170732
0.475,1,2,0.048780488
0.475,1,1,0.024390244
0.475,1,1,0.024390244
0.475,1,2,0.048780488
0.475,1,4,0.097560976
0.475,1,1,0.024390244
0.475,1,3,0.073170732
0.475,1,3,0.073170732
0.475,1,1,0.024390244
0.475,1,1,0.024390244
0.475,1,5,0.12195122
0.475,1,5,0.12195122
0.475,1,4,0.097560976
0.475,1,4,0.097560976
0.475,1,4,0.097560976
0.475,1,5,0.12195122
0.475,1,3,0.073170732
0.475,1,4,0.097560976
0.475,1,6,0.146341463
0.475,1.2,2,0.043478261
0.475,1.2,1,0.02173913
0.475,1.2,4,0.086956522
0.475,1.2,1,0.02173913
0.475,1.2,6,0.130434783
0.475,1.2,4,0.086956522
0.475,1.2,5,0.108695652
0.475,1.2,4,0.086956522
0.475,1.2,2,0.043478261
0.475,1.2,3,0.065217391
0.475,1.2,3,0.065217391
0.475,1.2,3,0.065217391
0.475,1.2,3,0.065217391
0.475,1.2,4,0.086956522
0.475,1.2,4,0.086956522
0.475,1.2,4,0.086956522
0.475,1.2,1,0.02173913
0.475,1.2,7,0.152173913
0.475,1.2,7,0.152173913
0.475,1.2,3,0.065217391
0.475,1.4,4,0.063492063
0.475,1.4,3,0.047619048
0.475,1.4,5,0.079365079
0.475,1.4,7,0.111111111
0.475,1.4,7,0.111111111
0.475,1.4,3,0.047619048
0.475,1.4,6,0.095238095
0.475,1.4,3,0.047619048
0.475,1.4,3,0.047619048
0.475,1.4,3,0.047619048
0.475,1.4,3,0.047619048
0.475,1.4,5,0.079365079
0.475,1.4,5,0.079365079
0.475,1.4,5,0.079365079
0.475,1.4,2,0.031746032
0.475,1.4,3,0.047619048
0.475,1.4,4,0.063492063
0.475,1.4,3,0.047619048
0.475,1.4,4,0.063492063
0.475,1.4,4,0.063492063
0.475,1.6,2,0.027777778
0.475,1.6,1,0.013888889
0.475,1.6,3,0.041666667
0.475,1.6,3,0.041666667
0.475,1.6,1,0.013888889
0.475,1.6,2,0.027777778
0.475,1.6,3,0.041666667
0.475,1.6,2,0.027777778
0.475,1.6,4,0.055555556
0.475,1.6,3,0.041666667
0.475,1.6,4,0.055555556
0.475,1.6,2,0.027777778
0.475,1.6,3,0.041666667
0.475,1.6,4,0.055555556
0.475,1.6,4,0.055555556
0.475,1.6,4,0.055555556
0.475,1.6,3,0.041666667
0.475,1.6,3,0.041666667
0.475,1.6,2,0.027777778
0.475,1.6,3,0.041666667
0.475,1.8,1,0.012345679
0.475,1.8,3,0.037037037
0.475,1.8,2,0.024691358
0.475,1.8,2,0.024691358
0.475,1.8,5,0.061728395
0.475,1.8,5,0.061728395
0.475,1.8,3,0.037037037
